# Geant4 Stopping Power Data
# Particle: proton
# Material: water
# Physics Model: FTFP_BERT
# Density: 1.0 g/cm³
#
# Energy units: MeV
# dE/dx units: MeV/cm
# Mass dE/dx units: MeV·cm²/g
#
   Energy (MeV)     Total dE/dx (MeV/cm)      Total Mass dE/dx (MeV cm^2/g)
         5.8000                  52.5833                            52.5833
         5.9000                  51.8649                            51.8649
         6.0000                  51.1676                            51.1676
         6.1000                  50.4905                            50.4905
         6.2000                  49.8326                            49.8326
         6.3000                  49.1931                            49.1931
         6.4000                  48.5713                            48.5713
         6.5000                  47.9664                            47.9664
         6.6000                  47.3777                            47.3777
         6.7000                  46.8045                            46.8045
         6.8000                  46.2463                            46.2463
         6.9000                  45.7023                            45.7023
         7.0000                  45.1721                            45.1721
         7.1000                  44.6552                            44.6552
         7.2000                  44.1510                            44.1510
         7.3000                  43.6590                            43.6590
         7.4000                  43.1788                            43.1788
         7.5000                  42.7100                            42.7100
         7.6000                  42.2521                            42.2521
         7.7000                  41.8047                            41.8047
         7.8000                  41.3676                            41.3676
         7.9000                  40.9403                            40.9403
         8.0000                  40.5225                            40.5225
         8.1000                  40.1138                            40.1138
         8.2000                  39.7140                            39.7140
         8.3000                  39.3228                            39.3228
         8.4000                  38.9399                            38.9399
         8.5000                  38.5650                            38.5650
         8.6000                  38.1978                            38.1978
         8.7000                  37.8382                            37.8382
         8.8000                  37.4859                            37.4859
         8.9000                  37.1406                            37.1406
         9.0000                  36.8021                            36.8021
         9.1000                  36.4703                            36.4703
         9.2000                  36.1449                            36.1449
         9.3000                  35.8258                            35.8258
         9.4000                  35.5127                            35.5127
         9.5000                  35.2055                            35.2055
         9.6000                  34.9040                            34.9040
         9.7000                  34.6081                            34.6081
         9.8000                  34.3176                            34.3176
         9.9000                  34.0323                            34.0323
        10.0000                  33.7521                            33.7521
        10.1000                  33.8193                            33.8193
        10.6000                  32.5202                            32.5202
        11.1000                  31.3264                            31.3264
        11.6000                  30.2254                            30.2254
        12.1000                  29.2064                            29.2064
        12.6000                  28.2603                            28.2603
        13.1000                  27.3795                            27.3795
        13.6000                  26.5573                            26.5573
        14.1000                  25.7878                            25.7878
        14.6000                  25.0660                            25.0660
        15.1000                  24.3875                            24.3875
        15.6000                  23.7485                            23.7485
        16.1000                  23.1454                            23.1454
        16.6000                  22.5754                            22.5754
        17.1000                  22.0356                            22.0356
        17.6000                  21.5236                            21.5236
        18.1000                  21.0374                            21.0374
        18.6000                  20.5750                            20.5750
        19.1000                  20.1346                            20.1346
        19.6000                  19.7146                            19.7146
        20.1000                  19.3137                            19.3137
        20.6000                  18.9306                            18.9306
        21.1000                  18.5640                            18.5640
        21.6000                  18.2129                            18.2129
        22.1000                  17.8763                            17.8763
        22.6000                  17.5533                            17.5533
        23.1000                  17.2430                            17.2430
        23.6000                  16.9448                            16.9448
        24.1000                  16.6579                            16.6579
        24.6000                  16.3816                            16.3816
        25.1000                  16.1155                            16.1155
        25.6000                  15.8588                            15.8588
        26.1000                  15.6112                            15.6112
        26.6000                  15.3721                            15.3721
        27.1000                  15.1410                            15.1410
        27.6000                  14.9177                            14.9177
        28.1000                  14.7016                            14.7016
        28.6000                  14.4925                            14.4925
        29.1000                  14.2899                            14.2899
        29.6000                  14.0937                            14.0937
        30.1000                  13.9034                            13.9034
        30.6000                  13.7188                            13.7188
        31.1000                  13.5397                            13.5397
        31.6000                  13.3658                            13.3658
        32.1000                  13.1969                            13.1969
        32.6000                  13.0327                            13.0327
        33.1000                  12.8731                            12.8731
        33.6000                  12.7179                            12.7179
        34.1000                  12.5669                            12.5669
        34.6000                  12.4199                            12.4199
        35.1000                  12.2767                            12.2767
        35.6000                  12.1373                            12.1373
        36.1000                  12.0014                            12.0014
        36.6000                  11.8689                            11.8689
        37.1000                  11.7397                            11.7397
        37.6000                  11.6137                            11.6137
        38.1000                  11.4908                            11.4908
        38.6000                  11.3707                            11.3707
        39.1000                  11.2536                            11.2536
        39.6000                  11.1391                            11.1391
        40.1000                  11.0273                            11.0273
        40.6000                  10.9180                            10.9180
        41.1000                  10.8112                            10.8112
        41.6000                  10.7067                            10.7067
        42.1000                  10.6046                            10.6046
        42.6000                  10.5047                            10.5047
        43.1000                  10.4069                            10.4069
        43.6000                  10.3111                            10.3111
        44.1000                  10.2174                            10.2174
        44.6000                  10.1257                            10.1257
        45.1000                  10.0358                            10.0358
        45.6000                   9.9477                             9.9477
        46.1000                   9.8614                             9.8614
        46.6000                   9.7769                             9.7769
        47.1000                   9.6939                             9.6939
        47.6000                   9.6126                             9.6126
        48.1000                   9.5329                             9.5329
        48.6000                   9.4547                             9.4547
        49.1000                   9.3780                             9.3780
        49.6000                   9.3027                             9.3027
        50.1000                   9.2288                             9.2288
        51.1000                   9.0850                             9.0850
        51.6000                   9.0150                             9.0150
        52.6000                   8.8788                             8.8788
        53.1000                   8.8125                             8.8125
        54.1000                   8.6833                             8.6833
        54.6000                   8.6204                             8.6204
        55.6000                   8.4976                             8.4976
        56.1000                   8.4377                             8.4377
        57.1000                   8.3210                             8.3210
        57.6000                   8.2640                             8.2640
        58.6000                   8.1528                             8.1528
        59.1000                   8.0985                             8.0985
        60.1000                   7.9924                             7.9924
        60.6000                   7.9406                             7.9406
        61.6000                   7.8393                             7.8393
        62.1000                   7.7898                             7.7898
        63.1000                   7.6930                             7.6930
        63.6000                   7.6456                             7.6456
        64.6000                   7.5530                             7.5530
        65.1000                   7.5077                             7.5077
        66.1000                   7.4190                             7.4190
        66.6000                   7.3755                             7.3755
        67.6000                   7.2905                             7.2905
        68.1000                   7.2488                             7.2488
        69.1000                   7.1672                             7.1672
        69.6000                   7.1272                             7.1272
        70.6000                   7.0488                             7.0488
        71.1000                   7.0104                             7.0104
        72.1000                   6.9351                             6.9351
        72.6000                   6.8981                             6.8981
        73.6000                   6.8256                             6.8256
        74.1000                   6.7901                             6.7901
        75.1000                   6.7203                             6.7203
        75.6000                   6.6861                             6.6861
        76.6000                   6.6188                             6.6188
        77.1000                   6.5858                             6.5858
        78.1000                   6.5210                             6.5210
        78.6000                   6.4892                             6.4892
        79.6000                   6.4267                             6.4267
        80.1000                   6.3959                             6.3959
        81.1000                   6.3356                             6.3356
        81.6000                   6.3059                             6.3059
        82.6000                   6.2476                             6.2476
        83.1000                   6.2189                             6.2189
        84.1000                   6.1625                             6.1625
        84.6000                   6.1348                             6.1348
        85.6000                   6.0803                             6.0803
        86.1000                   6.0535                             6.0535
        87.1000                   6.0007                             6.0007
        87.6000                   5.9748                             5.9748
        88.6000                   5.9237                             5.9237
        89.1000                   5.8985                             5.8985
        90.1000                   5.8490                             5.8490
        90.6000                   5.8247                             5.8247
        91.6000                   5.7767                             5.7767
        92.1000                   5.7531                             5.7531
        93.1000                   5.7066                             5.7066
        93.6000                   5.6837                             5.6837
        94.6000                   5.6385                             5.6385
        95.1000                   5.6163                             5.6163
        96.1000                   5.5725                             5.5725
        96.6000                   5.5509                             5.5509
        97.6000                   5.5083                             5.5083
        98.1000                   5.4874                             5.4874
        99.1000                   5.4460                             5.4460
        99.6000                   5.4257                             5.4257
       100.6000                   5.3855                             5.3855
       101.1000                   5.3657                             5.3657
       102.1000                   5.3266                             5.3266
       102.6000                   5.3074                             5.3074
       103.6000                   5.2694                             5.2694
       104.1000                   5.2506                             5.2506
       105.1000                   5.2136                             5.2136
       105.6000                   5.1954                             5.1954
       106.6000                   5.1594                             5.1594
       107.1000                   5.1417                             5.1417
       108.1000                   5.1066                             5.1066
       108.6000                   5.0893                             5.0893
       109.6000                   5.0551                             5.0551
       110.1000                   5.0383                             5.0383
       111.1000                   5.0050                             5.0050
       111.6000                   4.9886                             4.9886
       112.6000                   4.9561                             4.9561
       113.1000                   4.9401                             4.9401
       114.1000                   4.9085                             4.9085
       114.6000                   4.8929                             4.8929
       115.6000                   4.8620                             4.8620
       116.1000                   4.8468                             4.8468
       117.1000                   4.8167                             4.8167
       117.6000                   4.8018                             4.8018
       118.6000                   4.7724                             4.7724
       119.1000                   4.7579                             4.7579
       120.1000                   4.7292                             4.7292
       120.6000                   4.7150                             4.7150
       121.6000                   4.6870                             4.6870
       122.1000                   4.6731                             4.6731
       123.1000                   4.6457                             4.6457
       123.6000                   4.6322                             4.6322
       124.6000                   4.6054                             4.6054
       125.1000                   4.5922                             4.5922
       126.1000                   4.5661                             4.5661
       126.6000                   4.5531                             4.5531
       127.6000                   4.5276                             4.5276
       128.1000                   4.5149                             4.5149
       129.1000                   4.4899                             4.4899
       129.6000                   4.4775                             4.4775
       130.6000                   4.4531                             4.4531
       131.1000                   4.4410                             4.4410
       132.1000                   4.4171                             4.4171
       132.6000                   4.4052                             4.4052
       133.6000                   4.3818                             4.3818
       134.1000                   4.3702                             4.3702
       135.1000                   4.3473                             4.3473
       135.6000                   4.3359                             4.3359
       136.6000                   4.3135                             4.3135
       137.1000                   4.3024                             4.3024
       138.1000                   4.2804                             4.2804
       138.6000                   4.2695                             4.2695
       139.6000                   4.2480                             4.2480
       140.1000                   4.2373                             4.2373
       141.1000                   4.2162                             4.2162
       141.6000                   4.2058                             4.2058
       142.6000                   4.1851                             4.1851
       143.1000                   4.1749                             4.1749
       144.1000                   4.1546                             4.1546
       144.6000                   4.1446                             4.1446
       145.6000                   4.1247                             4.1247
       146.1000                   4.1148                             4.1148
       147.1000                   4.0954                             4.0954
       147.6000                   4.0857                             4.0857
       148.6000                   4.0666                             4.0666
       149.1000                   4.0571                             4.0571
       150.1000                   4.0384                             4.0384
       150.6000                   4.0291                             4.0291
       151.6000                   4.0107                             4.0107
       152.1000                   4.0016                             4.0016
       153.1000                   3.9836                             3.9836
       153.6000                   3.9746                             3.9746
       154.6000                   3.9569                             3.9569
       155.1000                   3.9481                             3.9481
       156.1000                   3.9308                             3.9308
       156.6000                   3.9221                             3.9221
       157.6000                   3.9051                             3.9051
       158.1000                   3.8966                             3.8966
       159.1000                   3.8799                             3.8799
       159.6000                   3.8715                             3.8715
       160.6000                   3.8551                             3.8551
       161.1000                   3.8469                             3.8469
       162.1000                   3.8308                             3.8308
       162.6000                   3.8227                             3.8227
       163.6000                   3.8069                             3.8069
       164.1000                   3.7990                             3.7990
       165.1000                   3.7834                             3.7834
       165.6000                   3.7756                             3.7756
       166.6000                   3.7603                             3.7603
       167.1000                   3.7527                             3.7527
       168.1000                   3.7376                             3.7376
       168.6000                   3.7301                             3.7301
       169.6000                   3.7153                             3.7153
       170.1000                   3.7080                             3.7080
       171.1000                   3.6934                             3.6934
       171.6000                   3.6862                             3.6862
       172.6000                   3.6718                             3.6718
       173.1000                   3.6647                             3.6647
       174.1000                   3.6506                             3.6506
       174.6000                   3.6437                             3.6437
       175.6000                   3.6298                             3.6298
       176.1000                   3.6229                             3.6229
       177.1000                   3.6093                             3.6093
       177.6000                   3.6025                             3.6025
       178.6000                   3.5891                             3.5891
       179.1000                   3.5825                             3.5825
       180.1000                   3.5693                             3.5693
       180.6000                   3.5627                             3.5627
       181.6000                   3.5497                             3.5497
       182.1000                   3.5433                             3.5433
       183.1000                   3.5305                             3.5305
       183.6000                   3.5241                             3.5241
       184.6000                   3.5116                             3.5116
       185.1000                   3.5053                             3.5053
       186.1000                   3.4929                             3.4929
       186.6000                   3.4868                             3.4868
       187.6000                   3.4746                             3.4746
       188.1000                   3.4685                             3.4685
       189.1000                   3.4565                             3.4565
       189.6000                   3.4506                             3.4506
       190.6000                   3.4387                             3.4387
       191.1000                   3.4329                             3.4329
       192.1000                   3.4212                             3.4212
       192.6000                   3.4154                             3.4154
       193.6000                   3.4039                             3.4039
       194.1000                   3.3983                             3.3983
       195.1000                   3.3869                             3.3869
       195.6000                   3.3813                             3.3813
       196.6000                   3.3702                             3.3702
       197.1000                   3.3647                             3.3647
       198.1000                   3.3537                             3.3537
       198.6000                   3.3482                             3.3482
       199.6000                   3.3374                             3.3374
       200.1000                   3.3321                             3.3321
       201.1000                   3.3214                             3.3214
       201.6000                   3.3161                             3.3161
       202.6000                   3.3056                             3.3056
       203.1000                   3.3004                             3.3004
       204.1000                   3.2900                             3.2900
       204.6000                   3.2849                             3.2849
       205.6000                   3.2747                             3.2747
       206.1000                   3.2696                             3.2696
       207.1000                   3.2595                             3.2595
       207.6000                   3.2545                             3.2545
       208.6000                   3.2446                             3.2446
       209.1000                   3.2397                             3.2397
       210.1000                   3.2299                             3.2299
       210.6000                   3.2250                             3.2250
       211.6000                   3.2154                             3.2154
       212.1000                   3.2106                             3.2106
       213.1000                   3.2010                             3.2010
       213.6000                   3.1963                             3.1963
       214.6000                   3.1869                             3.1869
       215.1000                   3.1823                             3.1823
       216.1000                   3.1730                             3.1730
       216.6000                   3.1684                             3.1684
       217.6000                   3.1592                             3.1592
       218.1000                   3.1547                             3.1547
       219.1000                   3.1457                             3.1457
       219.6000                   3.1412                             3.1412
       220.6000                   3.1323                             3.1323
       221.1000                   3.1279                             3.1279
       222.1000                   3.1191                             3.1191
       222.6000                   3.1147                             3.1147
       223.6000                   3.1061                             3.1061
       224.1000                   3.1018                             3.1018
       225.1000                   3.0932                             3.0932
       225.6000                   3.0889                             3.0889
       226.6000                   3.0805                             3.0805
       227.1000                   3.0763                             3.0763
       228.1000                   3.0680                             3.0680
       228.6000                   3.0638                             3.0638
       229.6000                   3.0556                             3.0556
       230.1000                   3.0515                             3.0515
       231.1000                   3.0434                             3.0434
       231.6000                   3.0393                             3.0393
       232.6000                   3.0313                             3.0313
       233.1000                   3.0273                             3.0273
       234.1000                   3.0194                             3.0194
       234.6000                   3.0154                             3.0154
       235.6000                   3.0076                             3.0076
       236.1000                   3.0037                             3.0037
       237.1000                   2.9960                             2.9960
       237.6000                   2.9922                             2.9922
       238.6000                   2.9845                             2.9845
       239.1000                   2.9807                             2.9807
       240.1000                   2.9732                             2.9732
       240.6000                   2.9694                             2.9694
       241.6000                   2.9620                             2.9620
       242.1000                   2.9583                             2.9583
       243.1000                   2.9509                             2.9509
       243.6000                   2.9473                             2.9473
       244.6000                   2.9400                             2.9400
       245.1000                   2.9364                             2.9364
       246.1000                   2.9292                             2.9292
       246.6000                   2.9256                             2.9256
       247.6000                   2.9185                             2.9185
       248.1000                   2.9150                             2.9150
       249.1000                   2.9080                             2.9080
       249.6000                   2.9045                             2.9045
